DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
ABW;BOG;4325;1384;5855164,2
ABW;BOG;3340;1563,5;6614558,7
ABW;BOG;169;931,2;3939544,0
ABW;BOG;13566;5148,46;21823549,7
ABW;BOG;564;214,05;907325,8
ABW;BOG;377;143,08;606494,7
ABW;BOG;1317;499,82;2118662,0
ABW;BOG;752;285,4;1209767,8
ABW;BOG;376;142,7;604883,9
ABW;BOG;29025;11015,32;46692289,1
ABW;BOG;90,96;643,65;2728335,8
ABW;BOG;30;87,7;361378,4
ABW;BOG;120;313,92;1293545,0
ABW;BOG;24;387,66;1636464,0
ABW;BOG;344;5766,12;24341041,3
ABW;BOG;75;2378;10038465,4
ABW;BOG;347;7476,2;31559955,9
ABW;BOG;41;205;858337,1
ABW;BOG;8;18;75985,0
ABW;BOG;4591;1390,65;6100308,7
ABW;BOG;200;60,58;265743,9
ABW;BOG;998;302,3;1326087,3
ABW;BOG;798;241,72;1060343,5
ABW;BOG;600;181,74;797231,6
ABW;BOG;200;60,58;265743,9
ABW;BOG;7985;2418,76;10610277,7
ABW;BOG;71,5;362,88;1591831,2
ABW;BOG;225;3300;13598046,0
ABW;BOG;86;1444,2;5950999,4
ABW;BOG;21;350,79;1445472,3
ABW;BOG;113;3388,79;13963915,8
ABW;BOG;241;5254,43;21651509,3
ABW;BOG;60;1682,6;6933355,2
ABW;BOG;228;4975,33;20501444,3
ABW;BOG;12;54,66;225233,1
ABW;BOG;52,4;582,4;2468706,2
ABW;BOG;29,1;230,69;977860,3
ABW;BOG;41,88;2393,64;10022194,6
ABW;BOG;36,82;1953,6;8179742,7
ABW;BOG;310,67;6635,6;27783323,6
ABW;BOG;144,12;6164,4;25810404,4
ABW;BOG;16,66;1099,2;4602361,4
ABW;BOG;325;15457;63692423,3
ABW;BOG;21;567;2336391,5
ABW;BOG;4725;1542;6687716,8
ABW;BOG;250;35;146545,4
ABW;BOG;1750;242,5;1045087,2
ABW;BOG;2630;657,6;2824402,5
ABW;BOG;1660;498;2147191,4
ABW;BOG;500;316,5;1376905,7
ABW;BOG;5437;2689,91;11577033,2
ABW;BOG;188;2514,24;10734050,5
ABW;BOG;60;122,72;517399,3
ABW;BOG;55;124,53;525195,1
ABW;BOG;168;366,55;1546171,5
ABW;BOG;60;122,73;526943,5
ABW;BOG;55;124,52;535375,2
ABW;BOG;168;366,55;1577244,2
ABW;BOG;389,22;348101,96;1508545745,0
ABW;BOG;474;3792,59;16032757,0
BIH;BOG;5;40;168558,8
BIH;BOG;31755;8891,5;37534489,2
BIH;BOG;9000;1080;4559101,2
AGO;BOG;3;12299,98;52262615,0
AGO;BOG;30;354,87;1507842,6
AGO;BOG;9,5;299,65;1273212,9
AGO;BOG;23,85;1455,22;6183229,8
AGO;BOG;2,65;565,7;2403659,3
SAU;BOG;920;766,8;3241562,7
SAU;BOG;8772;5875,26;24801763,8
SAU;BOG;11948;9418,73;40272654,0
SAU;BOG;10;138;601597,2
SAU;BOG;962;365,56;1593622,3
SAU;BOG;30;121,2;512749,9
SAU;BOG;20;118,2;500058,1
SAU;BOG;28;128,1;541941,1
SAU;BOG;16;67,2;284297,0
SAU;BOG;14;50,4;213222,7
SAU;BOG;45;138,75;586997,1
SAU;BOG;25;148,5;628245,6
SAU;BOG;15,3;78,5;332102,9
SAU;BOG;20;90;380754,9
SAU;BOG;17;9267;37566193,9
SAU;BOG;6;1711;6935983,4
SAU;BOG;3;891;3611900,2
SAU;BOG;16;20146,09;84895018,9
SAU;BOG;6;51444,56;216785832,5
SAU;BOG;12900;4093;16950873,0
SAU;BOG;800;152;629497,4
SAU;BOG;210;2,1;8697,0
SAU;BOG;540;172,8;715639,1
SAU;BOG;610;684,5;2834808,8
SAU;BOG;700;219;906973,2
SAU;BOG;469;2582;10693172,3
SAU;BOG;5040;46176,48;194586301,4
SAU;BOG;8400;76960,8;324950816,2
SAU;BOG;4219;14840,4;65099789,1
SAU;BOG;720;10320;42739557,6
SAU;BOG;130;1096,4;4688905,5
SAU;BOG;260;1508,25;6466504,5
SAU;BOG;133,5;617,3;2647692,1
SAU;BOG;73;482,7;2084242,4
SAU;BOG;153,9;1153,4;4963867,5
SAU;BOG;12,6;112,56;478615,3
SAU;BOG;20;180;756275,4
SAU;BOG;2;119,85;508026,2
SAU;BOG;8;0,68;2882,4
SAU;BOG;0,01;7,26;30774,1
SAU;BOG;0,37;1863,16;7897655,8
SAU;BOG;4;1777,05;7551947,2
SAU;BOG;1;424,32;1798628,8
DZA;BOG;17;750;3166042,5
DZA;BOG;2943;19755,72;83741533,7
ARG;BOG;50;1909,31;8045775,1
ARG;BOG;61;38950;165498550,0
ARG;BOG;2;3250;13809250,0
ARG;BOG;31460;3146;13313777,6
ARG;BOG;95950;26446,5;115290872,1
ARG;BOG;51702;10376;43708900,0
ARG;BOG;64;1010;4196489,4
ARG;BOG;13273;2362,54;9784294,0
ARG;BOG;3200;5844,8;24284793,3
ARG;BOG;2750,77;84190,45;356249793,1
ARG;BOG;1513,68;14171,3;59953243,5
ARG;BOG;300;2937,1;12449926,3
ARG;BOG;1200;7668;31138444,4
ARG;BOG;2;3733,16;15159728,1
ARG;BOG;2507,07;23471,5;99298762,6
ARG;BOG;78;1880;8246920,8
ARG;BOG;7;685,28;2823778,5
